category,crop_id,crop_en,crop_zh,substrate_type,extract_method,source_page,ec_root_zone,ec_fertigation,ph_fertigation,growth_stage,NH4_mmol_l,NO3_mmol_l,P_mmol_l,K_mmol_l,Ca_mmol_l,Mg_mmol_l,S_mmol_l,Cl_mmol_l,Fe_umol_l,Mn_umol_l,Zn_umol_l,B_umol_l,Cu_umol_l,Mo_umol_l,Na_max_mmol_l
fruiting_vegetables,cucumber,Cucumber,黄瓜,INERT_SUBSTRATE,direct,41,3.0,2.2,5.3,fertigation,1.25,16.0,1.25,8.0,4.0,1.375,1.375,0.0,15.0,10.0,5.0,25.0,0.75,0.5,6.0
fruiting_vegetables,cucumber,Cucumber,黄瓜,INERT_SUBSTRATE,direct,41,3.0,2.2,5.3,start,0.75,16.0,1.25,7.0,4.5,1.625,1.375,0.0,25.0,10.0,5.0,35.0,0.75,0.5,6.0
fruiting_vegetables,cucumber,Cucumber,黄瓜,INERT_SUBSTRATE,direct,41,3.0,2.2,5.3,fruit_set,1.25,17.0,1.25,9.0,4.0,1.375,1.375,0.0,15.0,10.0,5.0,25.0,0.75,0.5,6.0
fruiting_vegetables,cucumber,Cucumber,黄瓜,INERT_SUBSTRATE,direct,41,3.0,2.2,5.3,end_season,0.25,16.0,0.25,8.0,4.0,1.375,1.375,0.0,15.0,10.0,5.0,25.0,0.75,0.5,6.0
fruiting_vegetables,cucumber,Cucumber,黄瓜,ORGANIC_MATERIAL,1:1.5_volume,42,1.4,2.2,5.3,fertigation,1.0,16.75,1.25,8.0,4.5,1.5,1.5,0.0,30.0,10.0,5.0,25.0,0.75,0.5,2.0
fruiting_vegetables,cucumber,Cucumber,黄瓜,ORGANIC_MATERIAL,1:1.5_volume,42,1.4,2.2,5.3,start,0.5,16.75,1.25,7.0,5.0,1.75,1.5,0.0,40.0,10.0,5.0,35.0,0.75,0.5,2.0
fruiting_vegetables,cucumber,Cucumber,黄瓜,ORGANIC_MATERIAL,1:1.5_volume,42,1.4,2.2,5.3,fruit_set,1.0,17.75,1.25,9.0,4.5,1.5,1.5,0.0,30.0,10.0,5.0,25.0,0.75,0.5,2.0
fruiting_vegetables,cucumber,Cucumber,黄瓜,ORGANIC_MATERIAL,1:1.5_volume,42,1.4,2.2,5.3,end_season,0.0,16.75,0.25,8.0,4.5,1.5,1.5,0.0,30.0,10.0,5.0,25.0,0.75,0.5,2.0
fruiting_vegetables,cucumber,Cucumber,黄瓜,SOIL,1:2_volume,43,1.0,1.0,5.3,fertigation,0.9,7.9,0.5,3.5,2.0,1.0,1.0,0.0,5.0,2.0,1.0,10.0,0.3,0.0,3.0
fruiting_vegetables,eggplant,Eggplant,茄子,INERT_SUBSTRATE,direct,44,3.0,2.1,5.3,fertigation,1.5,15.5,1.25,6.75,3.25,2.5,1.5,0.0,15.0,10.0,5.0,35.0,0.75,0.5,6.0
fruiting_vegetables,eggplant,Eggplant,茄子,INERT_SUBSTRATE,direct,44,3.0,2.1,5.3,start,0.5,15.5,1.25,5.75,3.75,3.0,1.5,0.0,25.0,10.0,5.0,45.0,0.75,0.5,6.0
fruiting_vegetables,eggplant,Eggplant,茄子,INERT_SUBSTRATE,direct,44,3.0,2.1,5.3,fruit_set,1.5,16.5,1.25,7.75,3.25,2.5,1.5,0.0,15.0,10.0,5.0,35.0,0.75,0.5,6.0
fruiting_vegetables,eggplant,Eggplant,茄子,INERT_SUBSTRATE,direct,44,3.0,2.1,5.3,end_season,0.5,15.5,0.25,6.75,3.25,2.5,1.5,0.0,15.0,10.0,5.0,35.0,0.75,0.5,6.0
fruiting_vegetables,eggplant,Eggplant,茄子,ORGANIC_MATERIAL,1:1.5_volume,45,1.2,2.1,5.3,fertigation,0.75,15.5,1.25,6.0,3.75,2.75,1.5,0.0,15.0,10.0,5.0,35.0,0.75,0.5,2.0
fruiting_vegetables,eggplant,Eggplant,茄子,ORGANIC_MATERIAL,1:1.5_volume,45,1.2,2.1,5.3,start,0.25,15.5,1.25,5.0,4.25,3.0,1.5,0.0,25.0,10.0,5.0,45.0,0.75,0.5,2.0
